# Tx_x Tx_z Rx_x Rx_z travel_time
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.200000000000000000e+02 9.321839961467813518e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.300000000000000000e+02 9.680936842892352845e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.400000000000000000e+02 1.005896713291343919e-01
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.500000000000000000e+02 1.041893398303268270e-01
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.600000000000000000e+02 1.078273794256372764e-01
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.700000000000000000e+02 1.116934407574783489e-01
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.800000000000000000e+02 1.155100570448887726e-01
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.900000000000000000e+02 1.193956901329612935e-01
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+01 5.704147977555629884e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+01 5.626521297102209801e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 3.000000000000000000e+01 5.567635873795620527e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 4.000000000000000000e+01 5.543690349628252467e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 5.000000000000000000e+01 5.545637444459341342e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 6.000000000000000000e+01 5.578468229990257710e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 7.000000000000000000e+01 5.629170672478548548e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 8.000000000000000000e+01 5.710390603229395512e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 9.000000000000000000e+01 5.816481382077370171e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+02 5.951192321791033690e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.100000000000000000e+02 6.101639483828444344e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.200000000000000000e+02 6.286299714652185400e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.300000000000000000e+02 6.477896044821035426e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.400000000000000000e+02 6.704128323782591881e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.500000000000000000e+02 6.955199361796116087e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.600000000000000000e+02 7.204060178488076727e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.700000000000000000e+02 7.456843710306160222e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.800000000000000000e+02 7.745268375294409036e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 1.900000000000000000e+02 8.053714396171890444e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+02 8.362018949084451536e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.100000000000000000e+02 8.680301257289831096e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.200000000000000000e+02 9.031570957426916790e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.300000000000000000e+02 9.386032714001177335e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.400000000000000000e+02 9.736003241785964879e-02
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.500000000000000000e+02 1.010176540292404279e-01
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.600000000000000000e+02 1.048350011775010387e-01
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.700000000000000000e+02 1.085882513963120910e-01
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.800000000000000000e+02 1.124394735289125785e-01
5.000000000000000000e+00 4.000000000000000000e+01 1.450000000000000000e+02 2.900000000000000000e+02 1.161179830676202923e-01
5.000000000000000000e+00 5.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+01 5.786635467634529406e-02
